state_code,derived_race,derived_ethnicity,derived_sex,applicant_age,derived_loan_product_type,funnel_stage,leakage_category,denial_reason_label,is_approved_not_converted,income_band,loan_amount_band,property_value_band,ltv_band,rate_spread_band,dti_band,area_median_income_band,n_aplicaciones,total_loan_amount,total_income,n_con_income,total_rate_spread,n_con_rate_spread,total_origination_charges,n_con_origination_charges,total_interest_rate,n_con_interest_rate,total_loan_costs_sum,n_con_total_loan_costs,total_discount_points,n_con_discount_points,total_property_value,n_con_property_value
VA,White,Not Hispanic or Latino,Joint,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Medio,6,3110000.0,754.0,6,-1.755,6,19415.74,6,39.115,6,32003.04,6,15228.25,3,4550000.0,6
WI,White,Not Hispanic or Latino,Male,55-64,VA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,2,570000.0,172.0,2,1.185,2,4049.04,2,15.375,2,6912.04,2,2554.04,1,570000.0,2
MD,White,Not Hispanic or Latino,Joint,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Medio,5,1305000.0,657.0,5,-1.4269999999999998,5,17956.84,5,32.730000000000004,5,31709.59,5,9881.84,5,1985000.0,5
MD,Race Not Available,Ethnicity Not Available,Joint,35-44,Conventional:First Lien,Denied,Risk-based leakage,Other,False,Alto ($146K+),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,265000.0,193.0,1,,0,,0,,0,,0,,0,285000.0,1
IN,White,Not Hispanic or Latino,Female,55-64,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,80,8680000.0,3471.0,80,,0,,0,,0,,0,,0,,0
IN,White,Not Hispanic or Latino,Female,<25,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,156,20480000.0,6585.0,156,96.28646,156,220505.63,155,1071.969,156,432463.7099999999,156,62833.94,65,22670000.0,156
IN,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Medio,18,8060000.0,2273.0,18,8.4744,18,42486.4,18,127.493,18,75486.51999999999,18,32597.07,10,9520000.0,18
IN,White,Not Hispanic or Latino,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Medio,7,3125000.0,857.0,7,2.708,7,24758.0,6,48.25,7,36806.25,7,16929.8,4,3715000.0,7
IN,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,36,8190000.0,3607.0,36,26.02818,36,72459.67000000001,36,249.229,36,122473.3,36,46485.02,24,8520000.0,36
IN,White,Not Hispanic or Latino,Joint,35-44,VA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,23,6765000.0,2438.0,23,,0,,0,,0,,0,,0,,0
